,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1971, , , , , , , , , , , , , , , , , , , , , , , , 
1972,309,316,316,267,295,316,316,309,316,323,309,316,316,316,316,316,309,309,302,316,316,316,309,316
1973, , ,331, , , , , , , , , , , , , , , ,325, , ,331, , 
1974,317,317,309,317,317,317,331,331, , ,331, , , , , , , ,317,323,331, , , 
1975,336,336,329,336,336, ,336, , ,336, ,336,336,336,336,336,336,336,322,322,322, , , 
1976,321,335,321,321,321,335,335,335,335,342,342,342,342,342,349,342,342,342,307,321,321,335,335,349
1977,277,340,340,333,340,340,340,340,340, , ,340,340, , ,340, , ,312,326,333,326,326,326
1978,296,317,310,296,303,310,331,303,324,324,310,331,324,317,331,331,310,331,303,303,303,317,324,324
1979,316,323,309,309,330,323,309,330,337,337,330,344,337,330,337,344,337,344,316,323,323,323,323,344
1980,308,308,308,315,322,315,315,336,336,336,336,350,336,329,343,343,336,336,308,329,336,336,336,336
1981,306,306,306,341,341,334,341,334,341,355,341,348,348,341,366,366,355,355,313,334,334,327,334,366
1982,326,326,305,319,326,326,326,326,326,326,326,326,340,326,340,340,326,326,305,298,305,305,319,340
1983,313,320,320,306,320,320,320,320,320,320,327,327,327,334,334,327,334,334,306,306,306,250,306,327
1984,321,321,307,321,321,321,321,328,321,328,321,321,328,321,335,366,335,335,307,328,321,328,342,342
1985,319,319,312,319,319,319,319,333,319,366,340,366,366,366,366,366,326,366,312,326,326,340,366,366
1986,328,321,321,300,307,321,321,321,321,328,321,328,328,321,321,328,321,321,307,307,314,321,314,328
1987,320,320,306,320,320,334,334,327,334,334,334, , ,327, , ,327,334,299,327,327,327,334, 
1988,333,333,319,333,333,333,333,333,347,340,347,347,340,347,347,347,347,347,333,333,333,333,333,340
1989,317,324,324,317,317,324,331,331,338,345,331,338,345,331,331,338,331,338,310,338,338,338,338,338
1990,309,323,309,309,316,316,309,337,337,337,337,344,344,337,337,337,330,337,302,309,309,309,316,351
1991,308,329,308,329,329,336,336,329,336,329,336,336,343,329,336,336,329,336,301,315,329,329,329,336
1992,314,328,314,314,328,328,328,328,328,328,328,328,328,328,335,335,328,328,321,321,314,314,328,328
1993,319,326,312,333,326,326,333,333,326,319,340,340,340,333,340,340,333,333,312,312,312,312,319,319
1994,325,332,332,332,332,332,332,332,332, , , , , , , , , ,311,332,332,332,332, 
1995,317, ,317,331,338,338,338,338,338,338,338, , ,338, , ,338,338,331,331, , ,338, 
1996,337,337,337,337,337,337,351,337,344, ,337,351,337,344,344, ,344,344,323,337,330,330,330,337
1997, , ,336,325,336,336, ,336,336, ,336, ,336,336, , , , ,336, ,336, , , 
1998, , , , , , , , , , , , , , , , , , , , , ,336,336, 
1999, , ,336,327,327, , , , , , , , , , , , , ,327, ,336,327,327, 
2000,337,337,333,337,337,337,337,337,333, ,337, , , , , , , ,326,333,337, ,337, 
2001,345,345,345,331,345,345,345,345,345,345,345,345,352,345,352,352,345,345,331,345,345,352,345, 
2002,344,344,344,344,344,344,344,344,344,351,344,344,351,344,351,351,344,344,344,344,344,344,351,351
2003,357,357,343,343,357,343,357,350,357, ,357, , ,350, , ,343,357,343,357,357,357, , 
2004,335,342,328,321,335,342,349,342,342,356,342,356,356,342,349,349,342,342,349,349,342,342,349,363
2005,354,347,340,347,347,347,361,347,354,361,347,361,361,347,361,361,333,333,326,326,347,354,354,361
2006, ,353,346,346,346,346,353,353,346,360,353,360, ,353, ,360,346,360,339,353,360,360,353, 
2007,345,331,331,324,331,331,345,331,338,345,331,345,338,331,338,345,331,331,324,338,338,338,338,345
2008,351,330,330,330,337,337,344,337,344,351,344,344,344,351,351,351,351,351,316,344,344,344,344,351
2009,349,335,328,342,328,335,342,335,342,349,349,349,349,356,363,356,356,363,328,335,335,328,328,349
2010, , ,355,348, , , , , , , , , , , , , , , , , , , , 
2011, , ,347,347,354, , ,361,354, ,354, , ,354,354,361,347,354,333, , ,340,347, 
2012,339,353,339,332,332,346,346,339,346,353,339,346,353,346,353,353,346,346,304,339,346,346,353, 
2013,330,337,330,330,330,337,344,337,344,337,337,337,344,337,351,351,337,337,337,337,337,337,337,358
2014,336,336,329,322,336,322,350,336,350,357,343,357,350,336,343,350,336,336,329,350,350,350,343,357
2015,342,335,300,307,321,321,335,321,335,335,328,342,342,328,328,335,321,321,314,328,321,321,321,342
2016,362,348,348,341,341,348,348,348,341,341,348,355,341,348,362,362,341,355,320,341,341,341,341,348
2017,346,339,339,339,346,346,339,346,346,346,346,360,353,346,346,360,346,360,318,339,339,325,339,360
2018,345,331,324,331,324,324,324,331,324,338,338,338,324,338,345,345,338,338,331,338,338,324,338,338
