,1,2,3,4,5,6,7,8,9
1971,287,287,287,287,280,280,280,287,287
1972,,,,272,272,272,272,251,272
1973,284,284,284,284,284,284,270,284,284
1974,290,290,290,290,290,290,290,290,290
1975,268,268,275,261,261,261,261,268,261
1976,288,288,288,281,288,281,246,288,288
1977,293,293,293,293,293,286,286,293,293
1978,256,270,270,256,249,249,249,256,256
1979,255,255,262,276,276,276,255,262,248
1980,282,282,275,261,261,261,261,282,275
1981,294,294,287,287,287,287,287,287,287
1982,279,279,272,272,279,279,272,279,279
1983,290,290,290,290,283,283,283,290,290
1984,270,270,270,270,270,270,270,270,270
1985,289,289,289,289,282,282,282,289,289
1986,283,283,283,283,283,269,269,283,283
1987,273,273,273,273,273,259,259,273,273
1988,295,295,295,295,295,288,295,295,288
1989,279,279,286,286,286,286,279,286,286
1990,285,285,285,285,285,278,278,285,285
1991,284,284,284,284,284,277,277,277,284
1992,255,255,290,290,290,262,255,290,290
1993,288,288,288,288,274,274,274,274,274
1994,287,287,287,280,280,266,266,266,245
1995,279,279,293,265,265,265,251,265,265
1996,271,271,271,271,271,271,271,271,271
1997,269,269,269,269,269,255,262,269,269
1998,307,307,307,307,307,293,293,307,307
1999,292,292,292,292,292,292,278,292,292
2000,291,291,284,284,284,284,284,284,284
2001,289,289,289,282,289,282,282,289,289
2002,295,274,274,281,281,260,253,281,281
2003,280,280,280,252,252,273,266,280,280
2004,293,286,293,272,286,265,251,293,293
2005,284,291,291,291,291,291,291,291,291
2006,304,304,311,311,311,311,311,290,290
2007,303,303,303,303,303,303,296,303,303
2008,281,295,295,288,295,288,274,295,295
2009,286,286,300,300,300,293,293,300,300
2010,285,285,285,306,285,299,292,299,299
2011,298,298,298,298,298,298,298,305,298
2012,297,304,304,297,304,297,297,304,304
2013,281,281,281,281,281,281,281,281,281
2014,287,294,294,294,294,294,280,287,287
2015,286,286,300,293,293,293,293,293,293
2016,299,299,285,285,285,285,278,285,285
2017,283,290,290,283,290,283,283,290,290
2018,289,289,282,275,275,261,261,289,289
