,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1971,,,,,,,,,,,,,,,63,,,,98,56,77,77,98,49
1972,,56,8,7,84,6,14,63,70,28,21,70,63,28,35,77,35,7,105,55,7,42,105,35
1973,7,106,14,49,124,14,14,124,138,14,,,,96,77,,,,,,126,98,126,91
1974,126,133,21,110,117,49,75,117,110,82,,,,110,124,119,70,,126,28,77,105,119,70
1975,133,154,133,126,140,112,114,114,135,82,98,98,126,119,96,84,84,91,105,63,56,35,112,77
1976,91,147,79,49,105,112,65,112,91,21,119,63,28,51,23,119,98,7,112,70,84,112,112,35
1977,85,147,50,51,152,65,63,133,126,112,70,98,105,119,110,63,77,70,105,77,133,119,133,77
1978,98,112,85,100,110,28,12,84,98,37,7,49,63,61,56,105,7,,126,,91,126,126,14
1979,70,126,65,14,42,91,61,84,147,79,63,63,77,126,84,98,56,49,126,112,98,112,126,70
1980,119,112,77,98,147,147,,135,135,105,133,119,119,131,112,133,28,70,135,133,149,128,142,70
1981,160,161,170,107,156,133,105,147,140,126,105,126,146,138,140,126,112,98,154,119,168,91,154,98
1982,91,112,84,91,107,97,21,105,128,105,70,91,98,119,119,77,63,77,127,91,119,115,127,63
1983,56,56,5,5,117,14,,19,124,28,7,63,70,117,84,,28,,126,63,98,126,119,49
1984,126,105,128,92,98,185,28,98,137,37,105,105,98,126,162,201,84,91,155,140,112,105,175,77
1985,126,140,149,124,154,121,103,124,154,117,14,112,126,135,126,77,98,98,119,77,133,182,167,98
1986,105,147,126,133,183,38,80,74,123,127,112,84,84,109,88,96,28,7,156,,42,156,156,63
1987,134,147,107,105,133,40,30,100,138,7,,84,28,28,98,,,,146,56,63,126,146,28
1988,203,133,81,154,119,109,105,116,119,11,91,98,35,35,150,105,70,21,144,84,77,151,154,91
1989,126,119,136,67,84,80,,42,130,21,112,56,49,73,133,119,133,126,91,84,91,91,126,84
1990,34,63,60,11,87,4,,39,116,91,7,63,84,112,101,42,56,21,119,63,77,112,112,42
1991,154,133,109,115,136,70,4,52,147,95,7,77,91,112,98,107,21,7,107,7,84,91,114,70
1992,56,133,56,21,115,88,,119,137,42,112,70,49,56,98,84,21,,133,70,112,133,133,63
1993,63,119,53,28,122,4,,32,170,112,,98,119,133,163,,112,84,28,7,105,21,14,91
1994,161,147,140,133,171,116,129,136,183,25,140,105,98,171,137,161,112,7,179,63,147,193,179,98
1995,98,175,49,112,147,46,74,126,192,192,56,119,112,151,174,56,84,70,119,119,77,164,164,98
1996,180,161,154,123,168,173,63,115,173,70,112,119,112,112,73,91,56,63,149,133,98,142,142,35
1997,140,161,147,112,154,112,70,112,154,98,119,112,119,133,105,77,91,70,140,28,84,175,161,70
1998,161,148,192,112,200,206,,119,154,133,98,126,133,154,126,98,105,91,164,84,105,178,164,112
1999,97,55,83,133,147,170,70,98,119,14,119,98,77,77,84,112,91,,142,7,77,142,163,63
2000,91,151,112,84,140,84,84,119,151,98,98,119,133,133,119,105,112,98,144,133,98,112,144,98
2001,195,154,111,112,147,14,7,91,157,112,70,119,126,133,133,70,91,70,174,77,126,133,167,105
2002,48,34,133,112,202,77,7,7,175,98,126,119,119,133,105,91,119,91,173,147,119,173,180,105
2003,183,183,183,169,176,109,84,161,161,91,193,140,133,140,98,98,133,105,172,77,165,186,151,84
2004,91,167,126,112,154,14,77,7,147,98,119,98,112,126,112,7,98,7,125,56,77,156,97,7
2005,154,119,154,140,161,140,119,133,147,98,147,112,126,126,112,147,91,84,96,159,98,145,159,105
2006,210,196,203,173,187,196,173,161,154,112,166,126,133,126,119,165,91,91,175,152,138,182,168,119
2007,168,147,105,161,189,7,70,126,147,105,84,119,105,119,105,168,84,7,168,161,105,175,168,98
2008,140,140,49,98,140,140,63,126,161,119,70,84,112,168,111,70,77,70,147,140,119,91,147,70
2009,161,175,147,147,154,133,105,161,140,112,140,119,112,84,105,154,70,70,154,70,91,126,161,91
2010,259,189,238,161,231,203,112,126,231,112,119,168,161,182,196,119,140,119,203,112,105,161,196,119
2011,210,168,105,161,203,189,105,133,147,112,105,126,126,133,105,168,84,70,154,84,84,140,154,91
2012,161,210,77,140,189,77,77,91,175,126,98,161,147,140,161,98,168,91,168,84,119,63,168,112
2013,126,182,175,119,147,147,105,98,133,7,112,91,98,119,105,119,126,63,112,7,84,63,154,84
2014,175,133,168,112,140,154,70,91,133,63,105,112,105,133,105,112,91,84,161,,91,140,161,77
2015,7,63,112,,77,84,21,77,168,70,140,119,105,119,105,161,175,84,168,161,105,175,168,91
2016,154,147,175,140,210,175,105,168,154,112,98,105,105,126,105,168,70,56,161,154,70,154,168,84
2017,140,168,161,182,196,105,84,98,154,70,105,126,133,119,105,98,91,77,154,70,112,168,168,98
2018,182,168,182,161,168,112,105,119,112,7,126,98,35,7,91,140,63,,140,63,70,84,140,84
