,1,2,3,4,5,6,7,8,9
1971,224,224,217,217,217,217,203,217,217
1972,,,,244,237,223,174,244,244
1973,214,221,214,214,214,207,172,214,207
1974,213,227,234,227,220,213,178,213,227
1975,212,198,205,205,198,205,170,170,198
1976,204,204,204,204,204,204,183,204,204
1977,209,216,209,209,209,209,167,209,209
1978,228,228,235,235,214,214,228,214,214
1979,234,220,255,248,227,234,199,213,220
1980,226,219,233,219,212,205,170,219,212
1981,224,224,210,210,210,203,154,210,210
1982,216,223,216,209,209,209,152,202,216
1983,220,206,227,227,227,227,234,213,213
1984,235,235,228,222,222,222,214,200,214
1985,212,205,219,219,212,212,136,163,212
1986,227,227,227,220,213,213,171,213,227
1987,224,224,224,217,217,217,224,217,217
1988,211,204,218,218,204,197,123,204,204
1989,216,216,209,216,216,216,160,202,209
1990,222,222,222,215,208,208,166,215,208
1991,200,200,207,207,207,200,158,207,207
1992,234,227,220,220,227,227,171,227,227
1993,211,218,218,211,211,211,169,204,204
1994,231,203,217,217,217,217,210,217,217
1995,202,209,209,202,202,188,167,209,202
1996,208,208,222,222,222,208,159,208,222
1997,206,220,220,220,220,192,164,192,206
1998,216,202,202,202,202,202,136,202,202
1999,208,201,201,215,208,208,136,208,215
2000,207,207,214,207,207,214,168,200,200
2001,205,205,212,219,205,205,191,205,205
2002,232,232,232,225,225,218,225,218,218
2003,210,203,217,210,210,210,167,203,210
2004,230,223,223,223,223,195,154,209,223
2005,221,221,221,214,214,207,165,214,214
2006,220,213,220,213,213,213,136,206,213
2007,212,205,212,205,198,198,156,205,198
2008,197,197,204,211,218,211,162,204,218
2009,209,209,209,202,202,195,160,202,202
2010,208,208,208,215,215,215,201,208,208
2011,207,200,200,200,200,200,158,200,200
2012,206,192,206,206,199,220,213,199,199
2013,218,211,218,204,204,204,148,204,204
2014,210,217,217,217,203,196,140,217,203
2015,223,209,223,216,209,209,160,216,209
2016,201,215,201,194,194,194,152,194,201
2017,206,206,213,213,213,199,157,199,199
2018,198,198,219,212,212,212,212,212,212
