,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1971,,,,,,,,,,,,,,,301,,,,273,301,294,259,280,287
1972,,274,189,230,286,195,279,286,293,286,286,293,293,258,279,251,279,251,279,244,265,251,279,258
1973,254,325,249,249,324,249,249,324,317,249,,,,317,305,,,,,,305,270,305,305
1974,302,309,192,302,309,297,309,309,302,302,,,,309,302,297,297,,297,262,297,297,297,297
1975,315,336,315,315,329,303,310,310,303,287,303,303,303,301,287,289,289,303,282,282,282,247,282,282
1976,307,321,246,246,302,302,302,302,272,237,302,302,246,267,232,295,281,253,295,246,253,281,281,267
1977,256,326,221,258,319,314,314,319,312,305,314,314,314,312,291,300,293,307,279,293,300,279,293,293
1978,275,296,256,256,289,184,184,289,289,256,256,291,284,282,256,256,256,,284,,249,284,284,263
1979,225,309,220,232,248,246,302,302,309,304,304,304,304,302,302,297,297,297,283,290,283,290,290,290
1980,308,315,261,310,322,308,,310,310,308,310,310,310,308,301,296,247,303,289,303,303,282,296,289
1981,306,327,306,315,322,306,313,313,306,306,315,315,322,306,306,308,315,322,308,322,322,245,308,301
1982,319,319,298,300,307,249,249,298,300,293,300,300,300,293,284,300,293,300,279,300,293,251,279,279
1983,257,257,227,234,304,243,,248,297,248,248,297,304,304,262,,262,,297,227,297,304,297,262
1984,314,314,314,314,314,307,258,314,314,244,298,319,298,312,284,366,298,319,277,312,277,277,312,284
1985,319,319,312,317,317,242,317,317,317,303,247,317,317,305,291,310,310,317,296,310,303,303,303,296
1986,300,314,293,297,304,251,293,297,304,248,297,297,297,297,283,248,255,248,297,,283,297,297,290
1987,292,320,287,308,308,229,252,308,313,236,,308,252,250,301,,,,287,245,252,287,287,266
1988,326,333,246,316,316,232,316,316,316,239,274,316,253,246,291,274,309,253,267,246,295,274,295,295
1989,296,310,296,293,296,247,,237,300,247,300,300,293,247,293,286,293,293,251,251,251,286,286,286
1990,176,253,250,257,267,229,,250,292,292,229,292,292,292,288,285,285,250,285,285,285,285,285,285
1991,308,308,263,308,308,249,242,252,305,305,242,305,305,305,298,249,256,242,249,242,291,249,256,284
1992,251,314,258,251,314,255,,304,304,255,304,269,255,251,304,255,248,,304,241,283,304,304,290
1993,235,312,218,239,312,246,,246,312,309,,316,316,312,305,,316,316,246,239,309,246,239,302
1994,325,325,311,325,325,301,325,325,325,245,315,329,315,325,294,315,315,245,301,217,301,315,301,301
1995,240,317,226,310,314,293,314,314,314,314,293,314,300,314,296,293,293,307,286,300,286,286,286,293
1996,323,337,316,320,327,316,292,316,316,292,320,320,306,313,281,313,285,292,292,292,285,285,285,257
1997,318,325,311,311,318,311,311,311,318,304,311,311,304,318,290,297,297,304,262,248,276,297,283,276
1998,328,336,314,314,336,328,,321,321,314,328,321,314,328,293,328,314,321,300,314,300,314,300,307
1999,250,221,236,306,327,306,306,306,313,229,313,313,299,306,292,306,299,,278,250,278,278,299,278
2000,319,319,326,319,319,319,319,298,319,319,319,312,312,319,298,305,319,319,298,319,298,305,298,319
2001,317,324,233,317,331,136,254,317,310,317,310,324,317,324,303,310,310,310,310,310,303,310,303,310
2002,224,224,316,316,336,323,239,183,330,316,323,323,316,323,302,323,323,316,309,309,302,309,316,309
2003,336,336,336,336,343,245,315,336,336,322,329,329,322,336,287,315,308,322,308,308,287,308,287,287
2004,314,321,314,314,321,181,307,195,314,314,314,314,314,314,300,244,314,237,279,307,293,293,251,230
2005,326,326,326,333,340,326,319,326,333,319,319,326,319,319,291,312,291,319,249,312,291,298,312,312
2006,346,353,339,339,353,332,339,339,339,325,332,332,332,332,304,318,311,318,311,318,304,318,304,325
2007,324,317,247,317,331,226,310,324,317,310,310,324,317,317,296,310,296,247,310,303,296,310,303,310
2008,309,316,253,309,323,309,309,316,309,309,316,316,309,316,287,309,302,309,302,295,281,302,302,295
2009,328,335,314,314,335,314,314,321,307,307,307,314,307,307,286,300,293,307,293,293,272,307,300,300
2010,348,348,348,348,348,341,348,348,348,327,341,348,341,348,306,341,341,341,327,334,306,334,320,320
2011,333,340,263,333,347,326,333,326,319,312,326,326,319,319,291,319,298,298,298,298,284,312,298,298
2012,332,332,248,332,332,325,325,241,325,318,325,325,318,325,297,318,318,325,297,311,297,276,297,311
2013,323,330,316,323,330,309,316,316,323,232,302,316,309,316,302,302,302,302,260,239,281,260,302,295
2014,322,322,315,322,322,308,308,315,315,301,308,315,308,315,294,301,301,308,294,,280,294,294,301
2015,258,258,300,,258,314,258,258,300,307,307,307,307,314,293,307,307,307,300,300,293,307,300,307
2016,327,334,327,327,348,320,327,327,320,320,313,320,306,320,299,313,299,299,299,306,285,299,299,313
2017,318,332,311,325,346,311,311,318,311,311,311,318,311,318,290,311,304,311,297,304,290,304,304,304
2018,310,310,310,317,324,240,296,317,310,240,310,310,247,212,289,296,289,,289,219,275,254,289,289
