,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,322,,322,315,,315,329,,329,308,315,315,315,329,322,315,315,315,322,338,315,315,315,315,308,308,315,308,315,308,308,315,301,308,308,315
1973,,,,,,,,,,331,,,,,,,,,,,,,,,331,331,,,,324,331,,,324,324,
1974,,331,,317,331,323,331,331,,317,323,331,331,,317,323,323,331,,317,317,317,,,309,317,317,317,317,302,309,317,317,302,295,317
1975,,,,336,,336,,,,336,336,,,,336,336,,,,336,336,336,336,,329,336,336,336,,329,336,336,336,322,322,
1976,341,341,341,341,341,341,341,341,341,320,341,334,334,341,320,334,327,327,341,320,327,327,327,327,320,327,327,327,327,320,320,320,320,320,320,313
1977,,,,,,,,,,340,340,340,,,340,340,340,340,,340,340,340,326,340,333,333,340,340,340,333,333,333,326,326,326,333
1978,331,331,331,324,331,324,324,331,331,324,324,324,324,331,324,324,324,324,324,317,324,324,324,324,310,310,310,317,317,296,310,310,303,303,303,303
1979,344,344,344,330,344,330,344,344,344,316,344,344,344,344,323,344,344,344,344,323,337,330,337,344,316,323,323,323,337,316,323,309,316,309,302,309
1980,335,342,342,335,335,335,342,342,342,321,335,335,342,342,321,335,335,335,342,328,335,335,335,335,321,335,335,335,335,314,321,321,321,314,314,321
1981,365,348,355,341,355,341,355,348,355,348,355,348,348,341,355,348,348,348,341,341,348,348,341,341,341,341,341,341,341,341,341,341,341,327,327,327
1982,333,333,340,333,333,333,333,333,340,333,333,333,333,340,326,333,333,333,341,326,326,333,333,333,319,326,326,333,333,319,319,326,319,319,319,319
1983,348,348,348,341,348,341,348,348,348,334,341,348,348,348,334,341,341,334,334,327,334,334,334,334,320,327,327,327,334,320,327,327,320,320,320,306
1984,327,327,334,320,320,320,320,327,327,334,320,320,320,334,313,320,320,320,334,313,320,320,320,320,313,313,320,320,320,306,313,320,320,313,313,320
1985,333,326,,326,333,326,326,326,340,319,326,326,326,340,319,326,326,326,333,319,319,319,326,323,319,319,319,326,333,319,319,319,319,319,319,319
1986,321,328,328,321,328,321,328,328,328,321,328,328,328,328,321,321,328,328,328,321,321,321,328,328,314,321,321,321,321,314,314,321,321,300,314,299
1987,334,,,320,334,320,,,,320,334,334,,,320,334,334,334,,320,327,334,320,334,320,320,327,320,320,313,320,320,320,313,299,320
1988,346,346,346,332,346,332,339,346,346,332,332,339,346,346,332,332,339,339,346,332,332,339,339,346,332,332,332,339,346,332,332,332,332,325,325,325
1989,338,338,345,324,338,331,338,338,338,331,338,338,338,338,331,338,338,338,338,324,331,338,338,338,324,324,331,331,324,324,324,324,324,310,310,310
1990,337,337,337,330,344,330,330,337,337,330,337,337,337,337,330,337,337,337,337,330,330,337,337,337,330,330,337,335,337,316,330,330,337,309,295,309
1991,336,343,336,329,336,329,329,343,343,315,329,336,343,343,322,329,336,336,343,315,315,329,329,336,315,315,329,329,329,315,315,322,329,315,315,322
1992,334,327,341,327,327,327,327,327,334,327,327,327,327,334,327,327,327,327,334,327,327,327,327,327,327,327,327,327,327,313,320,320,313,320,306,313
1993,333,326,333,319,333,326,326,326,333,319,326,326,326,333,319,319,326,326,326,312,319,319,326,326,312,319,312,312,319,312,312,312,312,312,305,312
1994,,,,,,,,,,,,,,,332,332,332,,,332,332,332,,,332,332,332,332,,332,332,332,332,332,332,332
1995,331,338,338,331,338,331,338,338,338,331,338,338,338,338,331,331,338,338,338,331,331,331,331,338,324,331,331,331,331,317,324,324,324,310,317,324
1996,336,350,350,336,343,343,343,350,350,336,343,343,350,350,336,336,336,343,350,336,336,336,343,343,329,336,336,336,336,322,329,329,329,322,322,322
1997,,,,,,,,,,,,,,,,,,,,,,,,,325,,,,,325,325,325,325,325,325,325
1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328,
1999,,,,,,,,,,,,,,,327,,,,,,,,,,,,,,,327,327,,327,327,327,327
2000,,,,336,,325,,,,332,,,,,336,336,,,,332,336,336,336,336,325,332,336,332,331,318,325,325,332,325,318,
2001,,359,,352,,352,359,359,,,359,352,352,359,,,352,352,359,,,,,,331,,,331,,317,331,331,331,331,317,324
2002,337,337,337,323,337,337,337,337,337,316,330,323,337,337,323,323,330,337,344,316,323,330,344,344,323,323,323,337,344,323,323,323,337,323,323,344
2003,350,350,,336,350,336,350,350,,336,350,350,350,,336,343,343,336,350,336,343,343,336,343,336,336,336,336,343,329,329,336,336,329,336,336
2004,342,335,342,335,342,335,342,342,342,335,335,342,342,342,335,335,335,335,342,335,328,328,335,342,328,328,328,335,342,321,321,321,321,321,314,321
2005,347,326,354,333,347,333,347,347,354,333,340,347,347,354,333,333,347,347,354,333,333,347,347,347,333,333,340,340,347,326,333,333,340,333,333,347
2006,346,339,353,346,346,339,346,346,346,339,339,346,346,346,339,346,346,346,353,339,339,346,346,353,339,339,346,346,353,332,339,339,339,339,339,346
2007,338,338,352,345,345,338,345,352,345,338,345,345,345,345,338,345,345,345,338,338,338,338,338,338,331,331,331,338,338,324,331,331,324,324,324,324
2008,344,330,351,344,351,351,344,351,351,330,344,351,351,351,337,344,351,351,351,337,344,351,351,344,330,344,344,344,344,323,330,330,323,330,316,316
2009,349,342,349,349,349,349,349,349,349,349,349,349,356,356,349,349,349,349,356,349,349,349,349,356,342,349,349,349,349,328,342,342,335,328,328,335
2010,362,334,,348,,355,348,362,,348,348,348,348,,341,341,348,348,,341,341,348,348,348,341,341,341,348,362,334,341,341,341,334,334,348
2011,347,326,354,340,354,340,347,347,354,333,347,347,347,354,347,340,340,347,354,340,340,340,347,347,340,340,340,340,354,326,340,340,340,340,340,333
2012,346,332,360,346,353,346,353,346,353,339,346,346,346,346,339,339,346,339,339,339,339,339,339,339,332,339,339,332,339,332,339,332,332,332,325,332
2013,337,330,344,330,351,344,337,344,351,337,337,337,337,344,337,337,337,337,337,330,337,337,337,337,330,330,337,330,337,323,330,330,330,330,330,330
